Date : 2025-06-17 17:38:42
Directory : c:\laragon\www\commerce-app
Total : 157 files,  35140 codes, 1551 comments, 3341 blanks, all 40032 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PHP        |        146 |     24,346 |      1,524 |      3,303 |     29,173 |
| JSON       |          3 |     10,698 |          0 |          3 |     10,701 |
| Markdown   |          1 |         45 |          0 |         22 |         67 |
| XML        |          1 |         30 |          2 |          1 |         33 |
| JavaScript |          4 |         20 |         23 |         11 |         54 |
| PostCSS    |          2 |          1 |          2 |          1 |          4 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |        157 |     35,140 |      1,551 |      3,341 |     40,032 |
| . (Files)                                                                                                            |          6 |     10,783 |          2 |         28 |     10,813 |
| app                                                                                                                  |         44 |      1,903 |        199 |        483 |      2,585 |
| app\Console                                                                                                          |          1 |         15 |          7 |          6 |         28 |
| app\Exceptions                                                                                                       |          1 |         17 |          9 |          5 |         31 |
| app\Http                                                                                                             |         29 |      1,654 |        137 |        398 |      2,189 |
| app\Http (Files)                                                                                                     |          1 |         45 |         29 |          8 |         82 |
| app\Http\Controllers                                                                                                 |         18 |      1,495 |         54 |        347 |      1,896 |
| app\Http\Controllers (Files)                                                                                         |         14 |      1,333 |         50 |        301 |      1,684 |
| app\Http\Controllers\Auth                                                                                            |          3 |        134 |          4 |         35 |        173 |
| app\Http\Controllers\Vendor2                                                                                         |          1 |         28 |          0 |         11 |         39 |
| app\Http\Middleware                                                                                                  |         10 |        114 |         54 |         43 |        211 |
| app\Models                                                                                                           |          8 |        137 |          2 |         46 |        185 |
| app\Providers                                                                                                        |          5 |         80 |         44 |         28 |        152 |
| bootstrap                                                                                                            |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                               |         16 |        611 |        831 |        271 |      1,713 |
| database                                                                                                             |         28 |      1,060 |        139 |        131 |      1,330 |
| database\factories                                                                                                   |          1 |         25 |         14 |          6 |         45 |
| database\migrations                                                                                                  |         21 |        504 |        108 |         89 |        701 |
| database\seeders                                                                                                     |          6 |        531 |         17 |         36 |        584 |
| public                                                                                                               |          1 |         14 |         30 |         12 |         56 |
| resources                                                                                                            |         51 |     20,513 |        225 |      2,323 |     23,061 |
| resources\css                                                                                                        |          1 |          0 |          0 |          1 |          1 |
